source,target,ligand.complex,ligand,receptor.complex,receptor,receptor.prop,ligand.prop,ligand.expr,receptor.expr,lr.mean,pvalue
T_CD4_cell,Neutrophils,Tnf,Tnf,Tnfrsf1a,Tnfrsf1a,0.25093485534343635,0.121232086970845,0.20106661822587546,0.4703087983750599,0.3356877083004677,0
T_CD4_cell,Neutrophils,Tnf,Tnf,Tnfrsf1b,Tnfrsf1b,0.3782719937020272,0.121232086970845,0.20106661822587546,0.7643212207207234,0.4826939194732994,0
T_CD4_cell,Neutrophils,Thy1,Thy1,Itgam_Itgb2,Itgb2,0.16984845502853768,0.3933454126173612,0.7158344449340868,0.6508387747555469,0.6833366098448168,0
T_CD4_cell,Neutrophils,Icam1,Icam1,Itgam_Itgb2,Itgb2,0.16984845502853768,0.13309174765277548,0.2179919004636764,0.6508387747555469,0.4344153376096116,0
T_CD4_cell,Neutrophils,Cd40lg,Cd40lg,Itgam_Itgb2,Itgb2,0.16984845502853768,0.13671553286114313,0.23091132471213663,0.6508387747555469,0.44087504973384173,0
T_CD4_cell,Neutrophils,Cd47,Cd47,Sirpa,Sirpa,0.2753395000984058,0.36468456596936255,0.6132528720543359,0.5330517083056914,0.5731522901800137,0
T_CD4_cell,Neutrophils,Selplg,Selplg,Itgb2,Itgb2,0.16984845502853768,0.37950914182177564,0.6746682774432415,0.2981963127523744,0.48643229509780794,0
T_CD4_cell,Neutrophils,Selplg,Selplg,Itgam,Itgam,0.4754969494194056,0.37950914182177564,0.6746682774432415,1.0034812367587194,0.8390747571009805,0
T_CD4_cell,Neutrophils,Selplg,Selplg,Sell,Sell,0.3200157449321,0.37950914182177564,0.6746682774432415,0.6544201668411243,0.6645442221421829,0
T_CD4_cell,Neutrophils,Col1a1,Col1a1,Cd44,Cd44,0.7553631174965558,0.4460550156481634,0.7678580692634959,1.8888928787068453,1.3283754739851705,0
T_CD4_cell,Neutrophils,Fn1,Fn1,Cd44,Cd44,0.7553631174965558,0.12930324493493658,0.1948159809893862,1.8888928787068453,1.0418544298481158,0
T_CD4_cell,Neutrophils,Fn1,Fn1,C5ar1,C5ar1,0.49714623105687855,0.12930324493493658,0.1948159809893862,1.1215301907888222,0.6581730858891042,0
